id,customer_account_id,aggregation_provider_id,institution_transaction_id,date,type,description,amount,running_balance,pending,exclude,plaid_transaction_id,amount_currency_type_id,running_balance_currency_type_id,plaid_category_id,category_1,category_2,category_3,plaid_currency_code,authorized_date,street_address,city,region,postal_code,country,latitude,longitude,store_number,reference_number,ppd_id,payee,payment_channel,removed
2874678,3942,-1,,2018-05-21,17,CHECK PAID 3075,453.94,,False,False,kOyBnvkeAMT50wwxAzRmipQedvqedmCRJzoxa,1,1,21012001,Transfer,Withdrawal,Check,USD,,,,,,,,,,,,,other,False
2874679,3942,-1,,2018-05-21,17,Celtic Bank LOAN PYMT L-XXXXXXXX0745 CWM CONSULTING,1745.08,,False,False,KYPEaOgX03CkyYYmxjZRcBYV3R5V3KCQ8aE3n,1,1,18020004,Service,Financial,Loans and Mortgages,USD,,,,,,,,,,,,,online,False
2874680,3942,-1,,2018-05-21,17,MOBILE DEPOSIT,-2160.90,,False,False,3XnZ8xa3BbCKJxx1eOVQs9Pz5ekz57UK43oYd,1,1,21007000,Transfer,Deposit,,USD,,,,,,,,,,,,,other,False
2874681,3942,-1,,2018-05-21,17,MOBILE DEPOSIT,-692.60,,False,False,BXxZ8QA5PdCnwjj1NPpRsAJj10Lj1rS9JP3Ma,1,1,21007000,Transfer,Deposit,,USD,,,,,,,,,,,,,other,False
2874682,3942,-1,,2018-05-21,17,RETAIL CAPITAL L PREAUTHPMT RETAIL PERCIPIENT LLC,5.00,,False,False,yb4N931e8qtO1qqbgvD0uyvL48KL47SOdepkx,1,1,18020004,Service,Financial,Loans and Mortgages,USD,,,,,,,,,,,,,online,False
2874669,3942,-1,,2018-05-22,17,CHECK PAID 3068,865.76,,False,False,DpxXNn0bB6t1Lpp5j8ZaiEaYpDJYpvcZBxwJa,1,1,21012001,Transfer,Withdrawal,Check,USD,,,,,,,,,,,,,other,False
2874670,3942,-1,,2018-05-22,17,CHECK PAID 3082,835.33,,False,False,wbRNOoLY81tEvRRbYk6juBQZAdDZApCLp0KPP,1,1,21012001,Transfer,Withdrawal,Check,USD,,,,,,,,,,,,,other,False
2874671,3942,-1,,2018-05-22,17,CHECK PAID 3085,845.91,,False,False,6XedmzwkK4Cv599m6bQyfdX0JzK0JOCa1gwMg,1,1,21012001,Transfer,Withdrawal,Check,USD,,,,,,,,,,,,,other,False
2874672,3942,-1,,2018-05-22,17,CHECK PAID 3086,476.82,,False,False,dOLwVA1ePmTvoZZqX8BOfVQ1OZv1OBIbJXKME,1,1,21012001,Transfer,Withdrawal,Check,USD,,,,,,,,,,,,,other,False
2874673,3942,-1,,2018-05-22,17,CHECK PAID 3088,201.76,,False,False,mNkynave07Cmy994X68xSxYQgjVQg6IMkgBzE,1,1,21012001,Transfer,Withdrawal,Check,USD,,,,,,,,,,,,,other,False
